행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
1122053,48717916.0574,1175184.2064,745060.6753,1808025.4757,1375213.5928,1906311.3013,2217393.8973,2563411.1047,2384302.1966,2764154.4043,2139875.093,1857381.7702,1244001.3723,953075.3717,1766794.2687,1068422.756,596384.4453,1413319.6129,1805742.6927,2429825.4193,2347800.249,2341557.2377,2009723.994,2204059.7899,1733716.0437,1578168.0494,1277184.5225,950283.1767,2061543.2787
1122054,29899772.6171,941152.8556,681604.6209,859330.7062,981241.3437,1122780.9877,1169768.1569,1402836.1072,1467885.0087,1537609.099,1122008.4518,885010.9526,639881.776,479382.7886,905098.6659,1000247.9706,679539.3547,876219.0267,1582533.3847,1606183.6389,1322746.1811,1544788.6601,1370840.7605,1424358.7408,968449.8388,811550.4025,705318.0141,564288.9676,1247116.1494
1122055,23932579.0836,864935.3199,576992.8205,628722.5521,556693.1068,727037.1507,852280.0326,1154101.2499,1296090.4584,1373465.1488,1060207.3622,804101.1574,570547.3994,410920.9891,756020.6759,810739.0089,565712.1096,694918.0841,834096.2729,932036.568,968901.9462,1134267.9978,1208418.221,1192893.6549,875897.2522,803646.4054,652316.1621,468395.0615,1158224.9296
1122056,3274845.2754,68419.3202,92335.0107,134890.1554,90800.5649,85250.4854,87648.8854,107253.0325,116253.2849,193090.6339,155003.8795,152065.7296,95136.732,76624.9939,134212.4272,58269.0681,81301.8721,139067.8366,111419.2572,93237.6165,90961.4977,96290.6378,140155.6271,214289.2099,138219.1437,130321.6009,101477.2356,87634.2686,203215.2797
1122057,22964354.224,872421.4414,481739.97,539462.9896,545313.077,953490.131,1078826.8672,1270862.6605,1255570.7378,1269586.0352,790374.6838,647315.8866,431623.766,320924.3162,624084.9766,818974.1229,470956.2713,518920.1544,973782.475,1121080.6002,1095155.8391,1321264.6289,1173064.2953,1012371.9876,708571.0528000001,641609.5868,589668.4442,453960.5021,983376.5912
1122058,12718504.3846,734611.2385,496037.1867,514617.2321,252697.1712,261308.4395,283957.5947,423067.003,534428.0761,726503.2991,534775.178,436220.9221,263280.4077,232598.4242,390400.6538,624772.253,464104.0686,551413.855,308030.3678,281922.7389,312116.2388,527724.7798,682777.7373,760291.9378,460012.9124,376130.041,330492.883,253539.7232,700672.0533
1122059,17239292.3045,669512.0572,494130.3589,621351.0647,415086.6712,457775.6704,435770.8886,595636.4311,646892.2305,892047.0867,705210.5335,561806.4545,419493.7714,343637.4987,690253.7148,656352.8358,438299.0513,609635.3759,531973.0602,504767.3048,511087.9934,713954.0758,847836.578,1006510.0758,735428.8462,649615.4777,575156.5888,416730.0269,1093340.5811
1122060,31426054.507,1330727.1129,758110.8331,802345.2619,704632.3058,811163.9438,871592.3411,1230885.5015,1310253.4197,1456625.7977,1104189.4557,991417.2407,679555.8535,547993.1103000001,1096333.5299,1342214.8646,774298.1486,834905.5744,1068097.3793,1253391.2105,1267874.9506,1673818.1981,1685145.4675,1738611.0637,1206276.6284,1203944.1355,1016075.8583,814198.8985,1851376.4205
1122061,15014573.7674,542787.2244,445601.5281,522956.6226,294824.6283,387092.4231,354231.3856,496245.5872,618570.386,780874.4939,591110.6762,487611.8459,356968.4746,283034.3208,666497.9457,586638.7813,471430.5684,535571.3864,438522.1638,466698.8192,434551.6417,591964.3784,740900.6651,884308.2789,627378.7431,540169.963,470506.8208,384191.9546,1013332.0694
1122062,16333540.4299,599973.0015,251601.0997,497530.8883,470841.0638,598147.6816,585416.4577,716809.6256,689413.433,688388.6075,540147.4973,480418.6326,435163.382,328997.5649,671531.0407,635995.3499,278750.9339,484183.5356,633629.4063,685568.9038,748541.6811,789915.9659,676043.9709,703586.0513,607042.9238,571421.8713,547438.0825,441203.7813,975838.0015
